netra	1882
ulah	1882
kaliyan	1879
ngarsi	1878
langgeng	1872
satuhu	1871
mboten	1869
pengging	1866
setan	1864
sakeh	1864
kancana	1864
poma	1863
badanipun	1863
sasampuning	1863
danawa	1862
cukup	1861
asmara	1860
endah	1860
kidang	1859
anakipun	1857
sakathahing	1850
jepan	1849
pegat	1848
sajati	1847
karuna	1847
pinuju	1844
rupane	1844
awas	1843
kulon	1843
dharat	1843
bengi	1839
ngarsane	1839
macan	1837
iman	1835
mundhak	1835
adil	1834
jampi	1833
pathet	1832
sayektos	1827
gone	1825
kalebu	1825
seta	1823
d	1822
pangadilan	1822
nempuh	1822
anggung	1821
nimbali	1820
arane	1819
nampeni	1817
wolu	1815
anu	1814
jengandika	1814
seba	1813
namanipun	1810
mirah	1807
kataman	1807
kya	1805
emban	1803
uning	1801
biyen	1801
mukmin	1797
ut	1796
tyase	1794
bekti	1792
uripe	1791
dinuta	1791
candhi	1789
kaphir	1787
kumpul	1786
wekdal	1786
sekti	1784
kaeksi	1782
warnane	1781
murub	1780
tengara	1780
pathi	1779
anjalari	1778
madya	1777
iji	1774
nuripin	1766
prihatin	1764
ujar	1763
kawuwusa	1763
santosa	1762
nistha	1761
ngayogya	1761
latu	1759
sedheng	1757
mesat	1757
nana	1756
jaja	1756
bingung	1755
parta	1755
sasmita	1752
ginawe	1751
mekah	1749
tinengeran	1749
marek	1748
malang	1747
cemeng	1747
kathahipun	1747
tembang	1746
pinter	1744
kaliwon	1740
angucap	1738
pawongan	1738
balung	1736
kanjeng	1735
legi	1735
maling	1734
hing	1733
ngambah	1732
manggon	1731
srengenge	1731
tandya	1731
mangkubumi	1730
raosing	1730
peputra	1727
rebo	1726
mendhet	1726
salin	1724
sathithik	1720
nyandhak	1719
ngamuk	1719
upamane	1716
yata	1715
puger	1713
roh	1712
arga	1712
obah	1711
tilas	1711
kuna	1709
ujare	1709
lor	1707
wa	1706
wedang	1704
layon	1704
limrah	1701
sayid	1701
ngupaya	1700
bibi	1699
maca	1697
omahe	1695
suda	1694
wiratha	1694
pungkur	1693
aturi	1693
sadarum	1691
misuwur	1691
sonten	1691
rajaputra	1686
senen	1684
weh	1683
wuntat	1680
kemis	1680
tani	1679
akarya	1679
tedha	1679
motor	1678
kawon	1677
gamelan	1676
kalakon	1675
keri	1675
kuwasa	1675
sadasa	1675
mangun	1674
cidra	1673
suwung	1670
lebet	1670
samar	1669
sumelang	1669
kebak	1667
rahadyan	1667
ganjaran	1666
ngerti	1665
wardaya	1664
nira	1663
owah	1662
methuk	1660
lengganan	1660
timur	1659
mesir	1659
satunggaling	1658
meksih	1658
w	1657
sumurup	1657
van	1657
raharja	1656
barang-barang	1656
pusaka	1653
balik	1647
tatu	1646
randha	1645
basuki	1643
bapak	1641
geger	1640
munggah	1638
bongsa	1637
rasane	1636
solah	1636
samengko	1636
praptane	1636
digawe	1636
darma	1634
rembug	1634
pira	1634
salam	1632
h	1631
iv	1631
bedhil	1631
uwa	1630
t	1629
nabda	1626
napas	1625
besar	1625
ngalih	1622
takon	1622
bambang	1622
tilem	1619
inggil	1617
saksana	1616
babo	1615
nyariyosaken	1614
niku	1613
ngaku	1613
kawastanan	1612
dhapur	1612
sapi	1611
ran	1610
murid	1610
krungu	1610
hlm	1610
wadhah	1608
limang	1607
sampang	1607
utami	1606
jangkep	1606
getih	1606
griyanipun	1604
saganten	1604
ka	1603
dwarawati	1599
wuwus	1598
sinungan	1598
siwi	1595
dhiri	1594
titah	1592
warta	1592
malem	1590
alun-alun	1589
ajeg	1589
rekyana	1589
prayitna	1587
dhatengipun	1587
anggadhahi	1587
nalar	1586
suta	1586
genti	1586
jajar	1585
tentrem	1584
lumrah	1583
dangu-dangu	1583
yyang	1583
kaum	1581
tulus	1581
dedamel	1581
putus	1579
kagunan	1579
tinemu	1577
lo	1576
raras	1574
panas	1571
kamar	1571
pinaringan	1570
susunan	1570
rongga	1570
minta	1569
rasaning	1567
nalendra	1565
tanapi	1564
ngawontenaken	1563
mitra	1563
sabar	1562
tunggil	1562
urut	1562
gesangipun	1561
wolung	1561
nami	1560
kampung	1560
guling	1559
kandheg	1559
santun	1556
tingal	1556
sore	1555
ingaran	1555
jurang	1555
turangga	1554
pakubuwana	1554
kelawan	1553
kandha	1553
mangretos	1552
dagang	1549
pitaken	1549
asli	1548
kuran	1547
